2022-09-02 13:25:55 2481 | Message | Main启动,pid:31924
2022-09-02 13:25:55 2574 | Message | 初始化Login
2022-09-02 13:25:55 3068 | Message | Login  127.0.0.1  20001
2022-09-02 13:25:55 3735 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 13:27:44 4469 | Message | Main启动,pid:9184
2022-09-02 13:27:44 4541 | Message | 初始化Login
2022-09-02 13:27:44 4757 | Message | Login  127.0.0.1  20001
2022-09-02 13:27:44 5041 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 13:27:44 6397 | Message | 初始化Realm
2022-09-02 13:27:44 6404 | Message | Realm  127.0.0.1  20002
2022-09-02 13:27:44 6421 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 13:27:44 6423 | Message | 初始化Gate
2022-09-02 13:27:44 6429 | Message | Gate  127.0.0.1  20003
2022-09-02 13:27:44 6445 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 13:27:44 6446 | Message | 初始化World
2022-09-02 13:27:44 6455 | Message | World  127.0.0.1  20004
2022-09-02 13:27:44 6471 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:12:13 8660 | Message | Main启动,pid:31944
2022-09-02 14:12:13 8730 | Message | 初始化Login
2022-09-02 14:12:13 8943 | Message | Login  127.0.0.1  20001
2022-09-02 14:12:13 9224 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:12:14 0463 | Message | 初始化Realm
2022-09-02 14:12:14 0471 | Message | Realm  127.0.0.1  20002
2022-09-02 14:12:14 0488 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:12:14 0489 | Message | 初始化Gate
2022-09-02 14:12:14 0495 | Message | Gate  127.0.0.1  20003
2022-09-02 14:12:14 0510 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:12:14 0511 | Message | 初始化World
2022-09-02 14:12:14 0517 | Message | World  127.0.0.1  20004
2022-09-02 14:12:14 0530 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:12:21 3775 | Message | 127.0.0.1:52935 正在连接
2022-09-02 14:12:21 3781 | Message | 127.0.0.1:52935 连接成功
2022-09-02 14:12:45 2881 | Message | 127.0.0.1:52948 正在连接
2022-09-02 14:12:45 2883 | Message | 127.0.0.1:52948 连接成功
2022-09-02 14:13:14 5085 | Message | Main启动,pid:31680
2022-09-02 14:13:14 5197 | Message | 初始化Login
2022-09-02 14:13:14 5680 | Message | Login  127.0.0.1  20001
2022-09-02 14:13:14 6148 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:13:14 8106 | Message | 初始化Realm
2022-09-02 14:13:14 8115 | Message | Realm  127.0.0.1  20002
2022-09-02 14:13:14 8166 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:13:14 8168 | Message | 初始化Gate
2022-09-02 14:13:14 8175 | Message | Gate  127.0.0.1  20003
2022-09-02 14:13:14 8226 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:13:14 8229 | Message | 初始化World
2022-09-02 14:13:14 8238 | Message | World  127.0.0.1  20004
2022-09-02 14:13:14 8317 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:13:56 4142 | Message | 127.0.0.1:53005 正在连接
